Subject_ID,excluded,pressed_button1,pressed_button2,set_1,set_1_trials_total,set_1_chose_diatonic,set_1_chose_chromatic,set_1_%_diatonic,set_1_%_chromatic,set_1_rt_diatonic,set_1_rt_chromatic,set_1_rt,set_1_rt_diatonic:average,set_1_rt_chromatic:average,set_2,set_2_trials_total,set_2_chose_diatonic,set_2_chose_chromatic,set_2_%_diatonic,set_2_%_chromatic,set_2_rt_diatonic,set_2_rt_chromatic,set_2_rt,set_2_rt_diatonic:average,set_2_rt_chromatic:average,set_3,set_3_trials_total,set_3_chose_diatonic,set_3_chose_chromatic,set_3_%_diatonic,set_3_%_chromatic,set_3_rt_diatonic,set_3_rt_chromatic,set_3_rt,set_3_rt_diatonic:average,set_3_rt_chromatic:average
SVGb0063,False,120,0,"0, 2, 3, 5, 6, 8, 9",40,20,20,0.5,0.5,797.6649999967776,659.3367499765009,728.5008749866392,1.0949403458319893,0.9050596541680106,"0, 2, 4, 5, 7, 8, 11",40,20,20,0.5,0.5,719.9382499558851,814.9204999674112,767.4293749616481,0.9381166182124103,1.0618833817875897,"0, 2, 3, 5, 7, 9, 11",40,20,20,0.5,0.5,724.66100002639,692.5942499772646,708.6276250018273,1.0226259525579762,0.9773740474420238
SVGb0066,False,39,81,"0, 2, 3, 5, 6, 8, 9",40,16,24,0.4,0.6,4658.4531249827705,3940.2585416585985,4227.536374988267,1.101930938440642,0.9320460410395721,"0, 2, 4, 5, 7, 8, 11",40,15,25,0.375,0.625,5133.744999983658,4503.792000003159,4740.024374995846,1.0830629958497116,0.950162202490173,"0, 2, 3, 5, 7, 9, 11",40,20,20,0.5,0.5,3122.7619999903254,4409.354499995243,3766.058249992784,0.8291857939256008,1.1708142060743991
SVGb0069,False,82,38,"0, 2, 3, 5, 6, 8, 9",40,26,14,0.65,0.35,3883.224038462347,2043.1410714279627,3239.1950000003126,1.1988237937086135,0.6307558116840034,"0, 2, 4, 5, 7, 8, 11",40,17,23,0.425,0.575,2409.831470588195,3653.087173913137,3124.703500000037,0.7712192438700717,1.1690988197482077,"0, 2, 3, 5, 7, 9, 11",40,21,19,0.525,0.475,3141.859285713229,2760.955263157807,2960.9298749994036,1.0611056047768985,0.9324622262992173
SVGb0070,False,67,53,"0, 2, 3, 5, 6, 8, 9",40,13,27,0.325,0.675,966.0488461332324,1202.9657407461114,1125.9677499969257,0.857972038840251,1.0683838331509903,"0, 2, 4, 5, 7, 8, 11",40,16,24,0.4,0.6,1059.8615624912782,908.7777083332185,969.2112499964423,1.0935299837833792,0.9376466774777473,"0, 2, 3, 5, 7, 9, 11",40,22,18,0.55,0.45,1264.4829545461107,978.8875000021006,1135.9650000013062,1.1131354879284632,0.8617232925318783
SVGb0071,False,68,52,"0, 2, 3, 5, 6, 8, 9",40,16,24,0.4,0.6,1045.982500001628,1312.2185416662735,1205.7241250004154,0.8675139514200794,1.0883240323866137,"0, 2, 4, 5, 7, 8, 11",40,25,15,0.625,0.375,4031.878000000729,2002.2336666666747,3270.761375000459,1.2327031959034809,0.6121613401608651,"0, 2, 3, 5, 7, 9, 11",40,17,23,0.425,0.575,1040.3549999986255,1723.6163043473878,1433.2302499991638,0.7258812741352846,1.2026094930304418
SVGb0073,False,75,45,"0, 2, 3, 5, 6, 8, 9",40,20,20,0.5,0.5,987.7834999992017,1155.034250000259,1071.4088749997304,0.9219482151475087,1.078051784852491,"0, 2, 4, 5, 7, 8, 11",40,24,16,0.6,0.4,1038.522916665878,711.5496875003118,907.7336249996515,1.1440833390591614,0.7838749914112579,"0, 2, 3, 5, 7, 9, 11",40,21,19,0.525,0.475,1056.4542857141987,1703.235526316064,1363.6753750000848,0.7747109796670876,1.249003654052166
SVGb0076,False,68,52,"0, 2, 3, 5, 6, 8, 9",40,22,18,0.55,0.45,482.84409090885043,9532.910277777455,4555.373874999723,0.10599439346981807,2.0926735190924446,"0, 2, 4, 5, 7, 8, 11",40,22,18,0.55,0.45,495.7513636367565,605.2819444443513,545.0401250001742,0.9095685636660201,1.1105273110748644,"0, 2, 3, 5, 7, 9, 11",40,26,14,0.65,0.35,916.5423076921143,1060.2567857156641,966.8423750003567,0.9479749040703518,1.096618035297918
SVGb0080,False,72,48,"0, 2, 3, 5, 6, 8, 9",40,24,16,0.6,0.4,4565.869791666351,5055.837812499716,4761.856999999697,0.9588422734379973,1.061736589843004,"0, 2, 4, 5, 7, 8, 11",40,17,23,0.425,0.575,3862.7029411768344,4675.974565217663,4330.334125000311,0.892010369102074,1.0798184228375973,"0, 2, 3, 5, 7, 9, 11",40,21,19,0.525,0.475,5901.175238095383,4471.504210526162,5222.081500000003,1.130042730680358,0.8562685608269728
SVGb0084,False,71,49,"0, 2, 3, 5, 6, 8, 9",40,21,19,0.525,0.475,862.3259523828026,979.7315789527554,918.0936250035302,0.9392570963331619,1.0671368935265053,"0, 2, 4, 5, 7, 8, 11",40,23,17,0.575,0.425,1334.6241304357334,1034.561470578945,1207.0974999965983,1.1056473320833606,0.8570653742401592,"0, 2, 3, 5, 7, 9, 11",40,25,15,0.625,0.375,1117.2313999920152,1166.8733333315079,1135.847124994325,0.9836107125750723,1.0273154790415462
SVGb0086,False,67,53,"0, 2, 3, 5, 6, 8, 9",40,20,20,0.5,0.5,1954.8752499999755,2064.5435000000944,2009.709375000035,0.972715395727276,1.027284604272724,"0, 2, 4, 5, 7, 8, 11",40,21,19,0.525,0.475,1366.436904761907,1586.3439473684136,1470.8927499999977,0.9289847303699805,1.0784905611700215,"0, 2, 3, 5, 7, 9, 11",40,20,20,0.5,0.5,1591.5519999999815,1541.662000000017,1566.6069999999993,1.0159229468526454,0.9840770531473546
SVGb0088,False,100,20,"0, 2, 3, 5, 6, 8, 9",40,19,21,0.475,0.525,1317.7415789350082,1270.0683333068378,1292.7131249802187,1.0193611818980892,0.982482740187443,"0, 2, 4, 5, 7, 8, 11",40,21,19,0.525,0.475,2543.6507142370656,1323.3292105019484,1963.997999962885,1.295139157109699,0.6737935631945431,"0, 2, 3, 5, 7, 9, 11",40,22,18,0.55,0.45,39779.607045421886,2025.569999926827,22790.29037494911,1.7454629314046515,0.08887863939431488
SVGb0092,False,68,52,"0, 2, 3, 5, 6, 8, 9",40,17,23,0.425,0.575,500.4267647058501,659.0273913042911,591.6221249999537,0.8458553924194252,1.1139329708204246,"0, 2, 4, 5, 7, 8, 11",40,21,19,0.525,0.475,493.36690476211066,378.1371052632243,438.63275000013965,1.1247835570005968,0.8620813317361824,"0, 2, 3, 5, 7, 9, 11",40,22,18,0.55,0.45,669.7099999999773,533.79888888886,608.5499999999745,1.100501191356512,0.8771652105642632
SVGb0094,False,58,62,"0, 2, 3, 5, 6, 8, 9",40,25,15,0.625,0.375,1665.4137999983504,1371.9233333365992,1555.3548750001937,1.0707612949090752,0.8820645084848744,"0, 2, 4, 5, 7, 8, 11",40,20,20,0.5,0.5,1233.9427499944577,1177.2829999943497,1205.6128749944037,1.023498318231037,0.9765016817689629,"0, 2, 3, 5, 7, 9, 11",40,19,21,0.475,0.525,1451.101578952818,1542.8257142831128,1499.2567500012228,0.9678806374902994,1.0290603756040146
SVGb0095,False,55,65,"0, 2, 3, 5, 6, 8, 9",40,14,26,0.35,0.65,4549.708571418056,3258.2423076606715,3710.255499975756,1.2262520927326395,0.8781719500670404,"0, 2, 4, 5, 7, 8, 11",40,23,17,0.575,0.425,4214.629130458216,2790.636176476255,3609.432125015883,1.1676709755110495,0.7731510331321094,"0, 2, 3, 5, 7, 9, 11",40,22,18,0.55,0.45,3414.4502272406085,1715.5777777596895,2649.957624974195,1.2884923875995407,0.6473981929338948
SVGb0096,False,51,69,"0, 2, 3, 5, 6, 8, 9",40,17,23,0.425,0.575,2740.8452941351297,2238.5699999994476,2452.0370000071125,1.1177830082201776,0.9129429939242166,"0, 2, 4, 5, 7, 8, 11",40,19,21,0.475,0.525,1908.4678947631467,2526.5747618950195,2232.97400000738,0.8546753767651748,1.1314841829267468,"0, 2, 3, 5, 7, 9, 11",40,27,13,0.675,0.325,2056.7266666632213,1810.1899999802788,1976.6022499912651,1.0405364390697776,0.9158089342396926
